date,run_timestamp,site,engine,clicks
2026-05-25,2026-05-25T03:35:51Z,themiamientrepreneur.com,google.com,2
2026-05-25,2026-05-25T03:35:51Z,themiamientrepreneur.com,yahoo.com,0
2026-05-25,2026-05-25T03:35:51Z,themiamientrepreneur.com,bing.com,0
2026-05-25,2026-05-25T10:05:15Z,themiamientrepreneur.com,google.com,2
2026-05-25,2026-05-25T10:05:15Z,themiamientrepreneur.com,yahoo.com,0
2026-05-25,2026-05-25T10:05:15Z,themiamientrepreneur.com,bing.com,0
2026-05-25,2026-05-25T14:53:47Z,themiamientrepreneur.com,google.com,2
2026-05-25,2026-05-25T14:53:47Z,themiamientrepreneur.com,yahoo.com,0
2026-05-25,2026-05-25T14:53:47Z,themiamientrepreneur.com,bing.com,0
2026-05-25,2026-05-25T17:11:01Z,themiamientrepreneur.com,google.com,2
2026-05-25,2026-05-25T17:11:01Z,themiamientrepreneur.com,yahoo.com,0
2026-05-25,2026-05-25T17:11:01Z,themiamientrepreneur.com,bing.com,0
